,Argentina,Buenos Aires,Catamarca,Chaco,Chubut,Córdoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán,CABA
47,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,
125,492.0,203.0,0.0,45.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,204.0
126,500.0,203.0,0.0,45.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,204.0
127,508.0,212.0,0.0,47.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,211.0
128,520.0,217.0,0.0,51.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,212.0
129,528.0,222.0,0.0,52.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,219.0
130,539.0,224.0,0.0,52.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,221.0
131,556.0,230.0,0.0,53.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,230.0
132,569.0,236.0,0.0,58.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,230.0
133,583.0,250.0,0.0,58.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,240.0
134,608.0,247.0,0.0,59.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,246.0
135,632.0,261.0,0.0,61.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,259.0
136,648.0,268.0,0.0,62.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,278.0
137,664.0,270.0,0.0,62.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,5.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,292.0
138,698.0,293.0,0.0,64.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,5.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,310.0
139,717.0,293.0,0.0,64.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,5.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,310.0
140,735.0,304.0,0.0,64.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,2.0,5.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,324.0
